13 12 10 13 1 13 10 1 13 1 10 12 1 12 10 12 1 10 1 1 	Neg
8 6 1 1 1 8 8 12 1 1 1 1 10 10 	Neg
2 6 6 1 1 2 1 1 1 1 1 11 1 5 1 1 2 1 6 	Neg
1 1 7 1 1 1 2 9 6 4 1 1 	Neg
1 1 1 6 1 1 1 1 1 6 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 6 1 6 6 2 	Neg
1 6 1 1 1 9 1 1 1 6 1 1 2 1 1 12 1 1 2 6 9 9 1 	Neg
2 1 12 12 10 7 10 1 6 1 1 7 1 1 1 5 1 6 2 6 12 1 12 12 2 12 6 	Neg
10 1 1 1 3 3 1 1 3 3 3 1 2 1 2 1 1 1 1 1 10 	Neg
6 1 1 9 1 9 13 1 1 13 10 5 13 1 5 1 13 10 	Neg
1 1 1 7 1 6 1 1 1 1 1 1 6 1 1 1 6 1 1 1 1 1 1 1 1 	Neg
10 1 8 6 6 1 1 6 8 10 8 10 10 8 8 1 1 1 1 1 8 6 6 1 6 8 6 6 8 	Neg
1 1 1 6 1 1 1 1 6 1 1 1 6 1 1 1 1 1 1 1 1 1 	Neg
1 1 5 7 6 7 6 1 1 1 2 1 1 7 7 1 1 1 5 6 6 1 1 1 7 1 6 1 1 2 7 1 6 1 	Neg
6 1 10 1 1 1 1 1 9 1 1 10 1 1 1 1 10 1 1 1 1 1 1 10 10 1 1 	Neg
8 1 1 1 2 1 6 1 1 1 1 7 1 6 1 6 6 1 	Neg
1 1 1 3 1 1 10 10 1 11 1 2 1 10 11 1 1 11 1 9 11 	Neg
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 	Pos
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 	Neg
2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 	Neg
1 1 1 1 1 1 1 1 1 1 1 1 10 1 10 1 1 1 1 1 1 1 1 10 1 10 1 1 	Neg
1 1 1 6 6 8 1 1 1 1 6 6 1 1 1 1 1 1 1 1 1 8 	Neg
1 2 2 1 1 10 11 1 2 10 1 13 1 1 1 10 1 10 10 	Neg
1 1 1 2 2 2 3 1 	Neg
1 1 1 1 1 1 7 1 1 1 1 1 9 1 1 1 1 6 6 1 9 1 1 1 	Neg
1 9 10 9 10 1 9 10 1 1 1 1 1 1 	Neg
1 1 13 10 10 10 13 1 1 1 13 1 1 10 1 1 10 13 10 1 	Neg
1 1 11 1 1 1 2 1 1 2 1 1 1 1 2 2 1 1 1 1 2 2 1 1 	Neg
1 1 7 1 1 1 1 1 1 1 7 1 1 10 1 10 1 6 1 2 2 7 6 10 1 1 10 	Neg
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 	Pos
2 2 2 2 2 10 1 1 4 4 2 2 4 1 1 4 2 1 	Neg
10 1 1 10 10 10 10 1 1 10 1 10 10 10 1 1 1 10 1 1 	Neg
1 1 1 1 10 1 1 12 10 1 1 12 1 10 1 1 	Neg
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 	Pos
1 1 1 1 1 1 9 1 1 1 2 1 1 5 1 1 1 2 1 	Neg
1 1 10 6 9 6 1 1 1 13 10 1 1 1 9 1 6 1 1 1 	Neg
1 1 6 1 1 1 1 1 1 1 1 10 1 1 1 1 1 1 10 1 1 10 1 	Neg
1 1 1 1 1 1 6 1 1 1 1 1 1 10 1 1 	Neg
4 10 4 3 1 1 1 1 1 3 1 1 1 1 1 2 1 2 1 2 4 	Neg
1 10 1 2 3 1 2 1 1 1 1 3 13 10 1 	Neg
3 4 12 1 4 12 1 10 12 1 1 1 2 1 1 2 2 1 1 1 	Neg
1 10 1 1 1 9 1 10 13 1 1 10 1 	Neg
2 1 6 9 1 1 10 2 6 1 1 13 6 1 6 3 10 10 13 9 1 1 	Neg
1 8 12 1 1 6 1 8 12 7 8 6 1 10 1 1 1 1 1 7 	Neg
1 1 6 11 1 1 1 1 6 1 10 11 1 1 1 11 1 10 1 6 1 1 1 1 	Neg
1 1 1 1 6 1 1 1 1 1 1 6 1 1 1 1 1 	Neg
2 9 9 1 5 1 1 1 1 5 5 10 5 5 1 5 2 5 1 1 1 5 1 1 6 10 2 5 	Neg
2 1 1 1 1 2 1 2 7 1 2 1 6 2 	Neg
1 1 1 10 1 1 1 1 1 10 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 	Neg
6 7 7 6 9 9 1 9 6 1 9 9 1 1 1 1 10 	Neg
1 1 1 1 1 8 1 1 6 6 6 1 6 8 8 1 8 	Neg
6 1 1 7 1 7 10 2 7 1 1 1 10 10 1 1 1 10 2 10 	Neg
